Extension Name,Total LOC,Copied Postgres LOC,Pct Copied LOC
acl,1803,0,0
aclexplode,164,52,31.71
adaptive_estimator,959,123,12.83
adminpack,589,0,0
aggs_for_arrays,2538,0,0
aggs_for_vecs,4712,80,1.7
ajbool,84,0,0
amcheck,5042,0,0
apacheage,48492,0,0
argm,590,0,0
arraymath,916,0,0
auth_delay,76,0,0
auto_explain,429,0,0
base36,295,0,0
base62,782,0,0
basebackup_to_shell,425,0,0
basic_archive,372,0,0
bedquilt,0,0,0
bgvalidators,0,0,0
bignum,851,0,0
bitmap_estimator,807,123,15.24
bloom,1737,60,3.45
bool_plperl,30,0,0
bson,76168,10,0.01
btree_gin,513,0,0
btree_gist,6147,0,0
byteamagic,119,0,0
cat_tools,0,0,0
cert,1217,0,0
check_digits,474,0,0
check_updates,0,0,0
chkpass,175,0,0
citext,408,0,0
citus,236981,21918,9.25
clerk_fdw,395,0,0
colnames,90,0,0
colors,347,0,0
complex,166,0,0
config_log,0,0,0
constr_name_unif,0,0,0
couchdb_fdw,1933,0,0
count_distinct,870,0,0
count_nulls,0,0,0
countnulls,25,0,0
country,1140,0,0
cryptint,279,0,0
cstore_fdw,6049,0,0
cube,5683,2496,43.92
currency,855,9,1.05
cyanaudit,1309,0,0
datafly_anon,0,0,0
datasketches,6888,0,0
db2_fdw,7967,0,0
db_info,0,0,0
dblink,3094,0,0
dbpatch,0,0,0
ddlx,0,0,0
debversion,0,0,0
decoderbufs,1520,0,0
device_type,248,0,0
dict_int,116,0,0
dict_xsyn,259,0,0
dont_drop_db,195,0,0
dsef,0,0,0
earthdistance,104,0,0
email,256,0,0
emaj,0,0,0
envvar,36,0,0
explanation,0,0,0
extension_drop,0,0,0
faker,77,0,0
file_fdw,1225,0,0
file_fdw_program,1285,0,0
file_textarray_fdw,1130,0,0
financial,273,0,0
firebird_fdw,8890,0,0
first_last,0,0,0
first_last_agg,43,0,0
floatfile,2187,0,0
floatvec,1286,0,0
foreign_table_exposer,236,0,0
format_x,905,80,8.84
fuzzy_logic,0,0,0
fuzzystrmatch,2230,0,0
fuzzywuzzy,0,0,0
generate_date_series,98,0,0
geoip,0,0,0
geoip2lookup,0,0,0
gip,195,0,0
git_fdw,966,0,0
h3,2373,0,0
h3_postgis,2479,0,0
hashtypes,705,18,2.55
hashtypes-aleksabl,747,18,2.41
hexgrid,0,0,0
hostname,46,0,0
hstore,4471,57,1.27
hstore_plperl,155,0,0
hstore_plpython3u,192,0,0
http,1637,0,0
hyperloglog_estimator,881,123,13.96
hypopg,3583,76,2.12
icu_ext,3593,0,0
iif,24,0,0
imcs,15324,0,0
inetrange,68,0,0
intagg,0,0,0
intarray,3438,0,0
ip4r,8395,0,0
is_jsonb_valid,2673,0,0
isn,2441,0,0
istore,5538,0,0
italian_codes,0,0,0
italian_fts,0,0,0
jdbc_fdw,13839,0,0
json_accessors,1461,0,0
json_build,689,41,5.95
json_enhancements,4094,322,7.87
json_fdw,4267,0,0
json_utils,0,0,0
jsonb_deep_sum,195,0,0
jsonb_plperl,296,0,0
jsonb_plpython3u,504,0,0
jsonbx,1069,61,5.71
jsoncdc,469,0,0
jsonschema,937,0,0
jsquery,4837,0,0
jx_io,0,0,0
kmeans,411,0,0
language,521,0,0
ldap_fdw,702,0,0
