Extension Name,Source Code
acl,https://github.com/arkhipov/acl
aclexplode,https://pgxn.org/dist/aclexplode/
adaptive_estimator,https://github.com/tvondra/distinct_estimators
adminpack,https://github.com/postgres/postgres/tree/REL_16_STABLE/contrib/adminpack
aggs_for_arrays,https://github.com/pjungwir/aggs_for_arrays
aggs_for_vecs,https://github.com/pjungwir/aggs_for_vecs
ajbool,https://github.com/adjust/ajbool
amcheck,https://github.com/postgres/postgres/tree/master/contrib/amcheck
apacheage,https://github.com/apache/age
argm,https://github.com/bashtanov/argm
arraymath,https://github.com/pramsey/pgsql-arraymath
auth_delay,https://github.com/postgres/postgres/tree/master/contrib/auth_delay
auto_explain,https://github.com/postgres/postgres/tree/master/contrib/auto_explain
base36,https://github.com/adjust/pg-base36
base62,https://github.com/adjust/pg-base62
basebackup_to_shell,https://github.com/postgres/postgres/tree/master/contrib/basebackup_to_shell
basic_archive,https://github.com/postgres/postgres/tree/master/contrib/basic_archive
bedquilt,https://github.com/BedquiltDB/bedquilt-core
bgvalidators,https://pgxn.org/dist/bgvalidators/
bignum,https://github.com/beargiles/pg-bignum
bitmap_estimator,https://github.com/tvondra/distinct_estimators
bloom,https://github.com/postgres/postgres/tree/master/contrib/bloom
bool_plperl,https://github.com/postgres/postgres/tree/master/contrib/bool_plperl
bson,https://github.com/maciekgajewski/postgresbson
btree_gin,https://github.com/postgres/postgres/tree/master/contrib/btree_gin
btree_gist,https://github.com/postgres/postgres/tree/master/contrib/btree_gist
byteamagic,https://github.com/nmandery/pg_byteamagic
cat_tools,https://github.com/decibel/cat_tools
cert,https://github.com/beargiles/pg-cert
check_digits,https://pgxn.org/dist/check_digits
check_updates,https://pgxn.org/dist/check_updates/
chkpass,https://github.com/lacanoid/chkpass
citext,https://github.com/postgres/postgres/tree/master/contrib/citext
citus,https://github.com/citusdata/citus
clerk_fdw,https://github.com/tembo-io/clerk_fdw
colnames,https://github.com/theory/colnames
colors,https://github.com/zejn/pg-colors
complex,https://github.com/beargiles/pg-complex
config_log,https://github.com/ibarwick/config_log
constr_name_unif,https://github.com/katrinaibast/constr_name_unif
couchdb_fdw,https://github.com/ZhengYang/couchdb_fdw
count_distinct,https://github.com/tvondra/count_distinct
count_nulls,https://github.com/decibel/pg_count_nulls
countnulls,https://pgxn.org/dist/countnulls/
country,https://github.com/adjust/pg-country
cryptint,https://github.com/dverite/cryptint
cstore_fdw,https://github.com/citusdata/cstore_fdw
cube,https://github.com/postgres/postgres/tree/master/contrib/cube
currency,https://github.com/adjust/pg-currency
cyanaudit,https://bitbucket.org/neadwerx/cyanaudit
datafly_anon,https://github.com/neja5785/datafly-anon
datasketches,https://github.com/apache/datasketches-postgresql
db2_fdw,https://github.com/wolfgangbrandl/db2_fdw
db_info,https://github.com/asotolongo/db_info
dblink,https://github.com/postgres/postgres/tree/master/contrib/dblink
dbpatch,https://github.com/linz/postgresql-dbpatch
ddlx,https://github.com/lacanoid/pgddl
debversion,https://github.com/ATIX-AG/postgresql-debversion-evr
decoderbufs,https://github.com/debezium/postgres-decoderbufs
device_type,https://github.com/adjust/pg-device_type
dict_int,https://github.com/postgres/postgres/tree/master/contrib/dict_int
dict_xsyn,https://github.com/postgres/postgres/tree/master/contrib/dict_xsyn
dont_drop_db,https://github.com/s-hironobu/dont_drop_db
dsef,https://github.com/ardentperf/dsef
earthdistance,https://github.com/postgres/postgres/tree/master/contrib/earthdistance
email,https://github.com/asotolongo/email
emaj,https://github.com/dalibo/emaj
envvar,https://github.com/theory/pg-envvar
explanation,https://github.com/theory/explanation
extension_drop,https://github.com/decibel/extension_tools
faker,https://gitlab.com/dalibo/postgresql_faker
file_fdw,https://github.com/postgres/postgres/tree/master/contrib/file_fdw
file_fdw_program,https://pgxn.org/dist/file_fdw_program/
file_textarray_fdw,https://github.com/adunstan/file_text_array_fdw
financial,https://github.com/intgr/pg_financial
firebird_fdw,https://github.com/ibarwick/firebird_fdw
first_last,https://pgxn.org/dist/first_last/
first_last_agg,https://github.com/wulczer/first_last_agg
floatfile,https://github.com/pjungwir/floatfile
floatvec,https://github.com/pjungwir/floatvec
foreign_table_exposer,https://github.com/komamitsu/foreign_table_exposer
format_x,https://github.com/melanieplageman/format_x
fuzzy_logic,https://github.com/tvondra/fuzzy_logic
fuzzystrmatch,https://github.com/postgres/postgres/tree/master/contrib/fuzzystrmatch
fuzzywuzzy,https://pgxn.org/dist/fuzzywuzzy/
generate_date_series,https://pgxn.org/dist/generate_date_series/
geoip,https://github.com/tvondra/geoip
geoip2lookup,https://github.com/adjust/pg-geoip2lookup
gip,https://github.com/pramsey/pgsql-gzip
git_fdw,https://github.com/franckverrot/git_fdw
h3,https://github.com/zachasme/h3-pg
h3_postgis,https://github.com/zachasme/h3-pg
hashtypes,https://github.com/pandrewhk/hashtypes
hashtypes-aleksabl,https://pgxn.org/dist/hashtypes-aleksabl/
hexgrid,https://github.com/gojuno/hexgrid-pgsql
hostname,https://github.com/theory/pg-hostname
hstore,https://github.com/postgres/postgres/tree/master/contrib/hstore
hstore_plperl,https://github.com/postgres/postgres/tree/master/contrib/hstore_plperl
hstore_plpython3u,https://github.com/postgres/postgres/tree/master/contrib/hstore_plpython
http,https://github.com/pramsey/pgsql-http/
hyperloglog_estimator,https://github.com/tvondra/distinct_estimators
hypopg,https://github.com/HypoPG/hypopg
icu_ext,https://github.com/dverite/icu_ext
iif,https://gitlab.com/ongresinc/extensions/iif
imcs,https://github.com/knizhnik/imcs
inetrange,https://github.com/pjungwir/inetrange
intagg,https://github.com/postgres/postgres/tree/master/contrib/intagg
intarray,https://github.com/postgres/postgres/tree/master/contrib/intarray
ip4r,https://github.com/RhodiumToad/ip4r
is_jsonb_valid,https://github.com/furstenheim/is_jsonb_valid
isn,https://github.com/postgres/postgres/tree/master/contrib/isn
istore,https://github.com/adjust/istore
italian_codes,https://github.com/dvarrazzo/italian_codes
italian_fts,https://github.com/dvarrazzo/italian_fts
jdbc_fdw,https://github.com/pgspider/jdbc_fdw
json_accessors,https://github.com/theirix/json_accessors
json_build,https://github.com/pgexperts/json_build
json_enhancements,https://bitbucket.org/IVC-Inc/json_enhancements
json_fdw,https://github.com/nkhorman/json_fdw
json_utils,https://github.com/asotolongo/pg_json_utils
jsonb_deep_sum,https://github.com/furstenheim/jsonb_deep_sum
jsonb_plperl,https://github.com/postgres/postgres/tree/master/contrib/jsonb_plperl
jsonb_plpython3u,https://github.com/postgres/postgres/tree/master/contrib/jsonb_plpython
jsonbx,https://github.com/erthalion/jsonbx
jsoncdc,https://github.com/instructure/jsoncdc
jsonschema,https://github.com/tembo-io/pg-jsonschema-boon
jsquery,https://github.com/postgrespro/jsquery
jx_io,https://github.com/asotolongo/jx_io
kmeans,https://github.com/umitanuki/kmeans-postgresql
language,https://github.com/adjust/pg-language
ldap_fdw,https://github.com/guedes/ldap_fdw
lo,https://github.com/postgres/postgres/tree/master/contrib/lo
lock_pool,https://github.com/adjust/pg_lock_pool
log_fdw,https://github.com/aws/postgresql-logfdw
log_functions,https://github.com/gleu/log_functions
logerrors,https://github.com/munakoiso/logerrors
logfmt,https://gitlab.com/dalibo/logfmt
logical_ddl,https://github.com/samedyildirim/logical_ddl
login_hook,https://github.com/splendiddata/login_hook
loglog_estimator,https://github.com/tvondra/distinct_estimators
lostgis,https://github.com/gojuno/lostgis
lower_quantile,https://github.com/tvondra/lower_quantile
lsm3,https://github.com/postgrespro/lsm3
ltree,https://github.com/postgres/postgres/tree/master/contrib/ltree
ltree_plpython3u,https://github.com/postgres/postgres/tree/master/contrib/ltree_plpython
madlib,https://github.com/apache/madlib
mapcode,https://github.com/matlads/mapcode-postgres
md5hash,https://github.com/tvondra/md5hash
metagration,https://github.com/michelp/metagration
mimeo,https://github.com/omniti-labs/mimeo
mods_since_analyze,https://github.com/gleu/mods_since_analyze
mongo_fdw,https://github.com/EnterpriseDB/mongo_fdw
multicdr_fdw,https://github.com/theirix/multicdr_fdw
multicorn,https://github.com/Segfault-Inc/Multicorn
mvtbl,https://github.com/adjust/pg-mvtbl
my_extension,https://github.com/IshaanAdarsh/my_extension
mysql_fdw,https://github.com/EnterpriseDB/mysql_fdw
mysqlcompat,https://github.com/2ndQuadrant/mysqlcompat
narugn,https://pgxn.org/dist/narugn/
neo4j-fdw,https://github.com/sim51/neo4j-fdw
nominatim_fdw,https://github.com/jimjonesbr/nominatim_fdw
notify_now,https://github.com/ArturFormella/notify_now
oai_fdw,https://github.com/jimjonesbr/oai_fdw
object_reference,https://github.com/decibel/object_reference
odbc_fdw,https://github.com/ZhengYang/odbc_fdw
ogr_fdw,https://github.com/pramsey/pgsql-ogr-fdw
old_snapshot,https://github.com/postgres/postgres/tree/REL_16_STABLE/contrib/old_snapshot
openbarter,https://github.com/olivierch/openBarter
openssl,https://pgxn.org/dist/openssl/
oracle_fdw,https://github.com/laurenz/oracle_fdw
orafce,https://github.com/orafce/orafce
osm_fdw,https://github.com/vpikulik/postgres_osm_pbf_fdw
otp,https://github.com/asio/otp
pageinspect,https://github.com/postgres/postgres/tree/master/contrib/pageinspect
pair,https://github.com/theory/kv-pair
pandapost,https://github.com/PandaPost/PandaPost
paradedb,https://github.com/paradedb/paradedb
parray_gin,https://github.com/theirix/parray_gin
passwd-fdw,https://github.com/beargiles/passwd-fdw
passwordcheck,https://github.com/postgres/postgres/tree/master/contrib/passwordcheck
pcsa_estimator,https://github.com/tvondra/distinct_estimators/tree/master/pcsa
permuteseq,https://github.com/dverite/permuteseq
pg-json,https://github.com/claesjac/pg-json
pg2podg,https://github.com/gciolli/pg2podg
pg_acl,https://github.com/decibel/pg_acl
pg_amqp,https://pgxn.org/dist/pg_amqp/
pg_auditor,https://github.com/kouber/pg_auditor
pg_background,https://github.com/vibhorkum/pg_background
pg_bigm,https://github.com/pgbigm/pg_bigm
pg_buffercache,https://github.com/postgres/postgres/tree/master/contrib/pg_buffercache
pg_bulkload,https://github.com/ossc-db/pg_bulkload
pg_cext,https://github.com/IshaanAdarsh/pg_cext
pg_collkey,https://github.com/ccutrer/pg_collkey
pg_cron,https://github.com/citusdata/pg_cron
pg_curl,https://github.com/RekGRpth/pg_curl
pg_datatype_password,https://github.com/ozum/pg_datatype_password
pg_diffix,https://github.com/diffix/pg_diffix
pg_doc_store,https://github.com/keithf4/pg_doc_store
pg_doctest,https://gitlab.com/daamien/pg_doctest
pg_extra_time,https://github.com/bigsmoke/pg_extra_time
pg_failover_slots,https://github.com/EnterpriseDB/pg_failover_slots
pg_feedback,https://github.com/ligurio/pg_feedback
pg_fkpart,https://github.com/lemoineat/pg_fkpart
pg_freespacemap,https://github.com/postgres/postgres/tree/master/contrib/pg_freespacemap
pg_french_datatypes,https://pgxn.org/dist/pg_french_datatypes/
pg_global_catalog,https://github.com/pierreforstmann/pg_global_catalog
pg_gsl,https://github.com/ferndalehall/pg_gsl
pg_handlebars,https://github.com/RekGRpth/pg_handlebars
pg_hint_plan,https://github.com/ossc-db/pg_hint_plan
pg_html5_email_address,https://github.com/bigsmoke/pg_html5_email_address
pg_htmldoc,https://github.com/RekGRpth/pg_htmldoc
pg_icu_parser,https://github.com/IgKh/pg_icu_parser
pg_idx_advisor,https://github.com/cohenjo/pg_idx_advisor
pg_image,https://pgxn.org/dist/pg_image/
pg_injection,https://github.com/RekGRpth/pg_injection
pg_ivm,https://github.com/sraoss/pg_ivm
pg_jobmon,https://github.com/omniti-labs/pg_jobmon
pg_journal,https://github.com/intgr/pg_journal
pg_kaboom,https://github.com/pgguru/pg_kaboom
pg_lambda,https://github.com/decibel/pg_lambda
pg_later,https://github.com/tembo-io/pg_later
pg_libphonenumber,https://github.com/blm768/pg-libphonenumber
pg_log,https://github.com/pierreforstmann/pg_log
pg_log_statements,https://github.com/pierreforstmann/pg_log_statements
pg_log_userqueries,https://github.com/gleu/pg_log_userqueries
pg_logqueryid,https://github.com/pierreforstmann/pg_logqueryid
pg_luhn,https://pgxn.org/dist/pg_luhn/
pg_median_utils,https://github.com/greenape/pg_median_utils
pg_memorycontext,https://github.com/jackgo73/pg_memorycontext
pg_message_queue,https://pgxn.org/dist/pg_message_queue/
pg_metricus,https://github.com/nvorobev/pg_metricus_c
pg_migrate,https://github.com/phillbaker/pg_migrate
pg_mockable,https://github.com/bigsmoke/pg_mockable
pg_monitoring,https://github.com/einhverfr/pgxn-postgres_monitoring
pg_mupdf,https://github.com/RekGRpth/pg_mupdf
pg_mustach,https://github.com/RekGRpth/pg_mustach
pg_natural_sort_order,https://github.com/Bjond/pg_natural_sort_order
pg_part,https://github.com/uptimejp/pg_part
pg_partman,https://github.com/pgpartman/pg_partman
pg_pathman,https://github.com/postgrespro/pg_pathman
pg_permission,https://github.com/cybertec-postgresql/pg_permission
pg_plpgsql_ext,https://github.com/IshaanAdarsh/pg_plpgsql_ext
pg_plugins,https://github.com/michaelpq/pg_plugins
pg_prewarm,https://github.com/postgres/postgres/tree/master/contrib/pg_prewarm
pg_procfs,https://github.com/pierreforstmann/pg_procfs
pg_proctab,https://gitlab.com/pg_proctab/pg_proctab
pg_py_ext,https://github.com/IshaanAdarsh/pg_py_ext
pg_qualstats,https://github.com/powa-team/pg_qualstats
pg_query_rewrite,https://github.com/pierreforstmann/pg_query_rewrite
pg_queryid,https://github.com/rjuju/pg_queryid
pg_querylog,https://github.com/adjust/pg_querylog
pg_rand_ext,https://github.com/kasaharatt/pg_rand_ext
pg_readme,https://github.com/bigsmoke/pg_readme
pg_readonly,https://github.com/pierreforstmann/pg_readonly
pg_repack,https://github.com/reorg/pg_repack
pg_roaringbitmap,https://github.com/ChenHuajun/pg_roaringbitmap
pg_role_fkey_trigger_functions,https://github.com/bigsmoke/pg_role_fkey_trigger_functions
pg_rowalesce,https://github.com/bigsmoke/pg_rowalesce
pg_safer_settings,https://github.com/bigsmoke/pg_safer_settings
pg_sample_ext,https://github.com/IshaanAdarsh/pg_sample_ext
pg_sampletolog,https://github.com/anayrat/pg_sampletolog
pg_sessions,https://github.com/menardorama/pg_sessions
pg_set_acl,https://github.com/pierreforstmann/pg_set_acl
pg_set_level,https://github.com/pierreforstmann/pg_set_level
pg_shard,https://github.com/citusdata/pg_shard
pg_show_plans,https://github.com/cybertec-postgresql/pg_show_plans
pg_similarity,https://github.com/eulerto/pg_similarity
pg_sqlog,https://github.com/kouber/pg_sqlog
pg_squeeze,https://github.com/cybertec-postgresql/pg_squeeze
pg_stat_kcache,https://github.com/powa-team/pg_stat_kcache
pg_stat_monitor,https://github.com/percona/pg_stat_monitor
pg_stat_statements,https://github.com/postgres/postgres/tree/master/contrib/pg_stat_statements
pg_statsd,https://pgxn.org/dist/pg_statsd/
pg_statviz,https://github.com/vyruss/pg_statviz
pg_strom,https://github.com/heterodb/pg-strom
pg_surgery,https://github.com/postgres/postgres/tree/master/contrib/pg_surgery
pg_systat,https://pgxn.org/dist/pg_systat/
pg_task,https://github.com/RekGRpth/pg_task
pg_text_semver,https://github.com/bigsmoke/pg_text_semver
pg_thud,https://pgxn.org/dist/pg_thud/
pg_timeout,https://github.com/pierreforstmann/pg_timeout
pg_tle,https://github.com/aws/pg_tle
pg_track_settings,https://github.com/rjuju/pg_track_settings
pg_trgm,https://github.com/postgres/postgres/tree/master/contrib/pg_trgm
pg_utility_trigger_functions,https://github.com/bigsmoke/pg_utility_trigger_functions
pg_uuidv7,https://github.com/fboulnois/pg_uuidv7
pg_variables,https://github.com/postgrespro/pg_variables
pg_visibility,https://github.com/postgres/postgres/tree/master/contrib/pg_visibility
pg_wait_sampling,https://github.com/postgrespro/pg_wait_sampling
pg_walinspect,https://github.com/postgres/postgres/tree/master/contrib/pg_walinspect
pg_wkhtmltopdf,https://github.com/RekGRpth/pg_wkhtmltopdf
pg_xenophile,https://github.com/bigsmoke/pg_xenophile
pg_xnode,https://github.com/pg-xnode/extension
pg_xxhash,https://github.com/hatarist/pg_xxhash
pgaudit,https://github.com/pgaudit/pgaudit
pgbson,https://github.com/maciekgajewski/postgresbson
pgchess,https://github.com/gciolli/pgchess
pgchronos,https://github.com/worden341/pgchronos
pgcozy,https://github.com/vventirozos/pgcozy
pgcrypto,https://github.com/postgres/postgres/tree/master/contrib/pgcrypto
pgdecimal,https://pgxn.org/dist/pgdecimal/
pgdecimal2,http://github.com/vitesse-ftian/pgdecimal
pgds,https://github.com/pierreforstmann/pgds
pgerror,https://github.com/decibel/pgerror
pgespresso,https://github.com/2ndquadrant-it/pgespresso
pgextwlist,https://github.com/dimitri/pgextwlist
pgfincore,https://github.com/klando/pgfincore
pgjsonrpc,https://pgxn.org/dist/pgjsonrpc/
pgjwt,https://github.com/michelp/pgjwt
pglogical,https://github.com/2ndQuadrant/pglogical
pgmemento,https://github.com/pgMemento/pgMemento
pgmp,https://github.com/dvarrazzo/pgmp
pgmq,https://github.com/tembo-io/pgmq
pgpyml,https://github.com/Minoro/pgpyml
pgrouting,https://github.com/pgRouting/pgrouting
pgrowlocks,https://github.com/postgres/postgres/tree/master/contrib/pgrowlocks
pgsentinel,https://github.com/pgsentinel/pgsentinel
pgsmtp,https://github.com/asotolongo/pgsmtp
pgsodium,https://github.com/michelp/pgsodium
pgspeck,https://github.com/johto/pgspeck
pgsql_tweaks,https://gitlab.com/sjstoelting/pgsql-tweaks
pgstattuple,https://github.com/postgres/postgres/tree/master/contrib/pgstattuple
pgtap,https://github.com/theory/pgtap
pgtelemetry,https://github.com/adjust/pg-telemetry
pgtt,https://github.com/darold/pgtt
pgvihash,https://pgxn.org/dist/pgvihash/
pgwaffles,https://pgxn.org/dist/pgwaffles/
pgzint,https://github.com/davidbeauchamp/pgzint
planinstr,https://pgxn.org/dist/planinstr/
plparrot,https://github.com/leto/plparrot
plperl,https://github.com/postgres/postgres/tree/master/src/pl/plperl
plpgsql_check,https://github.com/okbob/plpgsql_check
plprofiler,https://github.com/bigsql/plprofiler
plproxy,https://github.com/plproxy/plproxy
plpython3u,https://github.com/postgres/postgres/tree/master/src/pl/plpython
plrust,https://github.com/tcdi/plrust
plv8,https://github.com/plv8/plv8
pmpp,https://github.com/coreyhuinker/pmpp
popcount,https://github.com/eschmar/postgresql-popcount
postal,https://github.com/pramsey/pgsql-postal
postcode,https://github.com/patchsoft/postcode
postgis,https://git.osgeo.org/gitea/postgis/postgis
postgres_fdw,https://github.com/postgres/postgres/tree/master/contrib/postgres_fdw
