Extension Name,V8,V9,V10,V11,V12,V13,V14,V15,V16
acl,No,Yes,No,Yes,Yes,No,No,No,No
aclexplode,No,No,No,No,No,No,No,No,No
adaptive_estimator,No,No,No,No,No,No,No,No,No
adminpack,No,No,No,No,No,No,No,No,No
aggs_for_arrays,No,No,No,No,No,No,No,No,No
aggs_for_vecs,No,Yes,Yes,No,Yes,Yes,Yes,No,No
ajbool,No,No,No,No,No,No,No,No,No
amcheck,No,No,No,No,No,No,No,No,No
apacheage,No,No,No,No,No,No,No,No,No
argm,No,No,No,Yes,No,No,No,No,No
arraymath,No,Yes,No,No,No,Yes,Yes,No,No
auth_delay,No,No,No,No,No,No,No,No,No
auto_explain,No,No,No,No,No,No,No,No,No
base36,No,No,No,No,No,No,No,No,Yes
base62,No,No,No,No,No,Yes,No,No,Yes
basebackup_to_shell,No,No,No,No,No,No,No,No,No
basic_archive,No,No,No,No,No,No,No,No,No
bedquilt,No,No,No,No,No,No,No,No,No
bgvalidators,No,No,No,No,No,No,No,No,No
bignum,No,No,No,No,No,No,No,No,No
bitmap_estimator,No,No,No,No,No,No,No,No,No
bloom,No,No,No,No,No,No,No,No,No
bool_plperl,No,No,No,No,No,No,No,No,No
bson,No,No,No,No,No,No,No,No,No
btree_gin,No,No,No,No,No,No,No,No,No
btree_gist,No,No,No,No,No,No,No,No,No
byteamagic,No,No,No,No,No,No,No,No,No
cat_tools,No,No,No,No,No,No,No,No,No
cert,No,No,No,No,No,No,No,No,No
check_digits,No,No,No,No,No,No,No,No,No
check_updates,No,No,No,No,No,No,No,No,No
chkpass,No,No,No,No,No,No,No,No,No
citext,No,No,No,No,No,No,No,No,No
citus,No,No,No,No,No,Yes,Yes,Yes,Yes
clerk_fdw,No,No,No,No,No,No,No,No,No
colnames,No,Yes,No,Yes,No,No,No,No,No
colors,No,No,No,No,No,No,No,No,No
complex,No,No,No,No,No,No,No,No,No
config_log,No,No,No,No,No,No,No,No,No
constr_name_unif,No,No,No,No,No,No,No,No,No
couchdb_fdw,No,No,No,No,No,No,No,No,No
count_distinct,No,No,No,No,No,No,No,No,No
count_nulls,No,No,No,No,No,No,No,No,No
countnulls,No,No,No,No,No,No,No,No,No
country,No,No,No,No,No,No,No,No,No
cryptint,No,No,No,No,No,No,No,No,Yes
cstore_fdw,No,Yes,Yes,Yes,Yes,Yes,No,No,No
cube,No,No,No,No,No,No,No,No,No
currency,No,No,No,No,No,No,No,No,Yes
cyanaudit,No,No,No,No,No,No,No,No,No
