Extension Name,Total LOC,Versioning?,Versioning LOC,Pct Versioning LOC
acl,1803,Yes,10,0.55
aclexplode,164,No,0,0
adaptive_estimator,959,No,0,0
adminpack,589,No,0,0
aggs_for_arrays,2538,No,0,0
aggs_for_vecs,4712,Yes,203,4.31
ajbool,84,No,0,0
amcheck,5042,No,0,0
apacheage,48492,No,0,0
argm,590,Yes,8,1.36
arraymath,916,Yes,12,1.31
auth_delay,76,No,0,0
auto_explain,429,No,0,0
base36,295,Yes,4,1.36
base62,782,Yes,19,2.43
basebackup_to_shell,425,No,0,0
basic_archive,372,No,0,0
bedquilt,0,No,0,0
bgvalidators,0,No,0,0
bignum,851,No,0,0
bitmap_estimator,807,No,0,0
bloom,1737,No,0,0
bool_plperl,30,No,0,0
bson,76168,No,0,0
btree_gin,513,No,0,0
btree_gist,6147,No,0,0
byteamagic,119,No,0,0
cat_tools,0,No,0,0
cert,1217,No,0,0
check_digits,474,No,0,0
check_updates,0,No,0,0
chkpass,175,No,0,0
citext,408,No,0,0
citus,236981,Yes,28650,12.09
clerk_fdw,395,No,0,0
colnames,90,Yes,5,5.56
colors,347,No,0,0
complex,166,No,0,0
config_log,0,No,0,0
constr_name_unif,0,No,0,0
couchdb_fdw,1933,No,0,0
count_distinct,870,No,0,0
count_nulls,0,No,0,0
countnulls,25,No,0,0
country,1140,No,0,0
cryptint,279,Yes,2,0.72
cstore_fdw,6049,Yes,344,5.69
cube,5683,No,0,0
currency,855,Yes,2,0.23
cyanaudit,1309,No,0,0
datafly_anon,0,No,0,0
datasketches,6888,Yes,2,0.03
db2_fdw,7967,Yes,193,2.42
db_info,0,No,0,0
dblink,3094,No,0,0
dbpatch,0,No,0,0
ddlx,0,No,0,0
debversion,0,No,0,0
decoderbufs,1520,Yes,7,0.46
device_type,248,No,0,0
dict_int,116,No,0,0
dict_xsyn,259,No,0,0
dont_drop_db,195,Yes,24,12.31
dsef,0,No,0,0
earthdistance,104,No,0,0
email,256,No,0,0
emaj,0,No,0,0
envvar,36,Yes,2,5.56
explanation,0,No,0,0
extension_drop,0,No,0,0
faker,77,No,0,0
file_fdw,1225,No,0,0
file_fdw_program,1285,No,0,0
file_textarray_fdw,1130,Yes,2,0.18
financial,273,No,0,0
firebird_fdw,8890,Yes,1014,11.41
first_last,0,No,0,0
first_last_agg,43,No,0,0
floatfile,2187,No,0,0
floatvec,1286,No,0,0
foreign_table_exposer,236,No,0,0
format_x,905,No,0,0
fuzzy_logic,0,No,0,0
fuzzystrmatch,2230,No,0,0
fuzzywuzzy,0,No,0,0
generate_date_series,98,No,0,0
geoip,0,No,0,0
geoip2lookup,0,No,0,0
gip,195,No,0,0
git_fdw,966,Yes,94,9.73
h3,2373,No,0,0
