test install_btree_gin            ... FAILED       26 ms
test int2                         ... ok           23 ms
test int4                         ... ok           35 ms
test int8                         ... ok           37 ms
test float4                       ... ok           36 ms
test float8                       ... ok           37 ms
test money                        ... ok           36 ms
test oid                          ... ok           35 ms
test timestamp                    ... ok           36 ms
test timestamptz                  ... ok           37 ms
test time                         ... ok           37 ms
test timetz                       ... ok           37 ms
test date                         ... ok           36 ms
test interval                     ... ok           36 ms
test macaddr                      ... ok           37 ms
test macaddr8                     ... ok           36 ms
test inet                         ... ok           49 ms
test cidr                         ... ok           49 ms
test text                         ... ok           47 ms
test varchar                      ... ok           49 ms
test char                         ... ok           37 ms
test bytea                        ... ok           47 ms
test bit                          ... ok           37 ms
test varbit                       ... ok           49 ms
test numeric                      ... ok           46 ms
test enum                         ... ok          338 ms
test uuid                         ... ok           18 ms
test name                         ... ok           22 ms
test bool                         ... ok           27 ms
test bpchar                       ... ok           36 ms
