test install_btree_gin            ... FAILED       19 ms
test int2                         ... ok            9 ms
test int4                         ... ok            9 ms
test int8                         ... ok           13 ms
test float4                       ... ok           29 ms
test float8                       ... ok           29 ms
test money                        ... ok           29 ms
test oid                          ... ok           29 ms
test timestamp                    ... ok           29 ms
test timestamptz                  ... ok           20 ms
test time                         ... ok           20 ms
test timetz                       ... ok           20 ms
test date                         ... ok           20 ms
test interval                     ... ok           20 ms
test macaddr                      ... ok           21 ms
test macaddr8                     ... ok           20 ms
test inet                         ... ok           28 ms
test cidr                         ... ok           36 ms
test text                         ... ok           35 ms
test varchar                      ... ok           36 ms
test char                         ... ok           29 ms
test bytea                        ... ok           28 ms
test bit                          ... ok           29 ms
test varbit                       ... ok           34 ms
test numeric                      ... ok           34 ms
test enum                         ... ok          144 ms
test uuid                         ... ok           16 ms
test name                         ... ok           22 ms
test bool                         ... ok           23 ms
test bpchar                       ... ok           22 ms
