test install_btree_gin            ... FAILED       24 ms
test int2                         ... ok           10 ms
test int4                         ... ok           23 ms
test int8                         ... ok           33 ms
test float4                       ... ok           33 ms
test float8                       ... ok           32 ms
test money                        ... ok           32 ms
test oid                          ... ok           34 ms
test timestamp                    ... ok           31 ms
test timestamptz                  ... ok           34 ms
test time                         ... ok           31 ms
test timetz                       ... ok           34 ms
test date                         ... ok           31 ms
test interval                     ... ok           33 ms
test macaddr                      ... ok           32 ms
test macaddr8                     ... ok           33 ms
test inet                         ... ok           44 ms
test cidr                         ... ok           42 ms
test text                         ... ok           41 ms
test varchar                      ... ok           43 ms
test char                         ... ok           31 ms
test bytea                        ... ok           39 ms
test bit                          ... ok           36 ms
test varbit                       ... ok           43 ms
test numeric                      ... ok           42 ms
test enum                         ... ok          204 ms
test uuid                         ... ok           22 ms
test name                         ... ok           36 ms
test bool                         ... ok           39 ms
test bpchar                       ... ok           36 ms
