test init                         ... FAILED       72 ms
test int2                         ... ok           16 ms
test int4                         ... ok           32 ms
test int8                         ... ok           35 ms
test float4                       ... ok           34 ms
test float8                       ... ok           45 ms
test cash                         ... ok           49 ms
test oid                          ... ok           45 ms
test timestamp                    ... ok           37 ms
test timestamptz                  ... ok           45 ms
test time                         ... ok           33 ms
test timetz                       ... ok          133 ms
test date                         ... ok           47 ms
test interval                     ... ok           52 ms
test macaddr                      ... ok           48 ms
test macaddr8                     ... ok           47 ms
test inet                         ... ok           57 ms
test cidr                         ... ok           38 ms
test text                         ... ok           58 ms
test varchar                      ... ok           42 ms
test char                         ... ok           27 ms
test bytea                        ... ok           43 ms
test bit                          ... ok           28 ms
test varbit                       ... ok           39 ms
test numeric                      ... ok           76 ms
test uuid                         ... ok           21 ms
test not_equal                    ... ok           81 ms
test enum                         ... ok           45 ms
test bool                         ... ok           39 ms
