test init                         ... FAILED       33 ms
test int2                         ... ok           13 ms
test int4                         ... ok           18 ms
test int8                         ... ok           41 ms
test float4                       ... ok           20 ms
test float8                       ... ok           19 ms
test cash                         ... ok           18 ms
test oid                          ... ok           17 ms
test timestamp                    ... ok           19 ms
test timestamptz                  ... ok           25 ms
test time                         ... ok           18 ms
test timetz                       ... ok           72 ms
test date                         ... ok           42 ms
test interval                     ... ok           46 ms
test macaddr                      ... ok           29 ms
test macaddr8                     ... ok           28 ms
test inet                         ... ok           43 ms
test cidr                         ... ok           21 ms
test text                         ... ok           31 ms
test varchar                      ... ok           39 ms
test char                         ... ok           27 ms
test bytea                        ... ok           51 ms
test bit                          ... ok           24 ms
test varbit                       ... ok           28 ms
test numeric                      ... ok           51 ms
test uuid                         ... ok           22 ms
test not_equal                    ... ok           49 ms
test enum                         ... ok           45 ms
test bool                         ... ok           34 ms
