test install_btree_gin            ... FAILED       33 ms
test int2                         ... ok           36 ms
test int4                         ... ok           37 ms
test int8                         ... ok           32 ms
test float4                       ... ok           37 ms
test float8                       ... ok           37 ms
test money                        ... ok           36 ms
test oid                          ... ok           36 ms
test timestamp                    ... ok           37 ms
test timestamptz                  ... ok           37 ms
test time                         ... ok           37 ms
test timetz                       ... ok           37 ms
test date                         ... ok           37 ms
test interval                     ... ok           37 ms
test macaddr                      ... ok           37 ms
test macaddr8                     ... ok           37 ms
test inet                         ... ok           46 ms
test cidr                         ... ok           51 ms
test text                         ... ok           47 ms
test varchar                      ... ok           52 ms
test char                         ... ok           36 ms
test bytea                        ... ok           50 ms
test bit                          ... ok           37 ms
test varbit                       ... ok           52 ms
test numeric                      ... ok           48 ms
test enum                         ... ok          317 ms
test uuid                         ... ok           17 ms
test name                         ... ok           19 ms
test bool                         ... ok           23 ms
test bpchar                       ... ok           25 ms
