test init                         ... FAILED       35 ms
test int2                         ... ok           20 ms
test int4                         ... ok           37 ms
test int8                         ... ok           50 ms
test float4                       ... ok          152 ms
test float8                       ... ok           53 ms
test cash                         ... ok           50 ms
test oid                          ... ok           46 ms
test timestamp                    ... ok           51 ms
test timestamptz                  ... ok           70 ms
test time                         ... ok           36 ms
test timetz                       ... ok          175 ms
test date                         ... ok           33 ms
test interval                     ... ok           29 ms
test macaddr                      ... ok           32 ms
test macaddr8                     ... ok           31 ms
test inet                         ... ok           63 ms
test cidr                         ... ok           36 ms
test text                         ... ok           69 ms
test varchar                      ... ok           38 ms
test char                         ... ok           40 ms
test bytea                        ... ok           71 ms
test bit                          ... ok           49 ms
test varbit                       ... ok           47 ms
test numeric                      ... ok           85 ms
test uuid                         ... ok           22 ms
test not_equal                    ... ok           90 ms
test enum                         ... ok           56 ms
test bool                         ... ok           41 ms
