test init                         ... FAILED       31 ms
test int2                         ... ok           11 ms
test int4                         ... ok           11 ms
test int8                         ... ok           11 ms
test float4                       ... ok           12 ms
test float8                       ... ok           12 ms
test cash                         ... ok           15 ms
test oid                          ... ok           11 ms
test timestamp                    ... ok           12 ms
test timestamptz                  ... ok           17 ms
test time                         ... ok           13 ms
test timetz                       ... ok           53 ms
test date                         ... ok           42 ms
test interval                     ... ok           45 ms
test macaddr                      ... ok           37 ms
test macaddr8                     ... ok           18 ms
test inet                         ... ok           28 ms
test cidr                         ... ok           20 ms
test text                         ... ok           30 ms
test varchar                      ... ok           24 ms
test char                         ... ok           26 ms
test bytea                        ... ok           30 ms
test bit                          ... ok           18 ms
test varbit                       ... ok           33 ms
test numeric                      ... ok           91 ms
test uuid                         ... ok           15 ms
test not_equal                    ... ok           48 ms
test enum                         ... ok           25 ms
test bool                         ... ok           18 ms
