test init                         ... FAILED       41 ms
test int2                         ... ok           18 ms
test int4                         ... ok           18 ms
test int8                         ... ok           18 ms
test float4                       ... ok           19 ms
test float8                       ... ok           19 ms
test cash                         ... ok           20 ms
test oid                          ... ok           25 ms
test timestamp                    ... ok           36 ms
test timestamptz                  ... ok           56 ms
test time                         ... ok           44 ms
test timetz                       ... ok          180 ms
test date                         ... ok           49 ms
test interval                     ... ok           52 ms
test macaddr                      ... ok           54 ms
test macaddr8                     ... ok           49 ms
test inet                         ... ok           63 ms
test cidr                         ... ok           54 ms
test text                         ... ok           79 ms
test varchar                      ... ok           36 ms
test char                         ... ok           51 ms
test bytea                        ... ok           75 ms
test bit                          ... ok           51 ms
test varbit                       ... ok           66 ms
test numeric                      ... ok           92 ms
test uuid                         ... ok           21 ms
test not_equal                    ... ok           70 ms
test enum                         ... ok           51 ms
test bool                         ... ok          143 ms
