test install_btree_gin            ... FAILED       32 ms
test int2                         ... ok           26 ms
test int4                         ... ok           37 ms
test int8                         ... ok           37 ms
test float4                       ... ok           37 ms
test float8                       ... ok           37 ms
test money                        ... ok           38 ms
test oid                          ... ok           37 ms
test timestamp                    ... ok           37 ms
test timestamptz                  ... ok           38 ms
test time                         ... ok           38 ms
test timetz                       ... ok           37 ms
test date                         ... ok           38 ms
test interval                     ... ok           38 ms
test macaddr                      ... ok           38 ms
test macaddr8                     ... ok           37 ms
test inet                         ... ok           49 ms
test cidr                         ... ok           49 ms
test text                         ... ok           47 ms
test varchar                      ... ok           49 ms
test char                         ... ok           36 ms
test bytea                        ... ok           45 ms
test bit                          ... ok           38 ms
test varbit                       ... ok           47 ms
test numeric                      ... ok           47 ms
test enum                         ... ok          197 ms
test uuid                         ... ok           25 ms
test name                         ... ok           41 ms
test bool                         ... ok           43 ms
test bpchar                       ... ok           42 ms
